Event Name,Date,Total Sold,Building
CULTURAL NIGHT,11/2/2019,611,Hart
ARTRAGEOUS,11/6/2019,712,Hart
I-TALENT SHOW,11/16/2019,238,Hart
SOUND ALLIANCE-VOCAL UNION-SWINGIN' CHRISTMAS,12/13/2019,910,Hart
closed - BYU YOUNG AMBASSADORS,1/16/2020,"1,048",Hart
closed - SLAM DUNK / 3 POINT SHOOTOUT,1/31/2020,807,Hart
closed - BRYAN TERRELL CLARK,2/14/2020,872,Hart
closed - I-TALENT,2/28/2020,385,Hart
"closed - BEN RECTOR, The Old Friends Acoustic Tour",3/7/2020,"3,229",Hart
LASER TAG TOURNAMENT,5/28/2022,17,Hart
I-TALENT and DJ DANCE,6/18/2022,103,Hart
I-TALENT DJ DANCE,6/18/2022,13,Hart
LASER TAG TOURNAMENT,6/25/2022,8,Hart
"TAKE ME HOME: The Music of John Denver, featuring Jim Curry",7/29/2022,714,Hart
CLOSED- NEW STUDENT TALENT SHOW,9/9/2022,33,Hart
CLOSED - LIVERPOOL LEGENDS,9/23/2022,"1,440",Hart
CLOSED - MADILYN PAIGE with POWER 2 BECOME,10/7/2022,"1,753",Hart
CLOSED - CULTURAL NIGHTand DANCE,10/15/2022,925,Hart
CLOSED - MASQUERADE BALL,10/22/2022,461,Hart
CLOSED - I-TALENT: A NIGHT WITH DRAGONS,11/5/2022,269,Hart
CLOSED - BEST OF BYUI: A FLIGHT WITH OUR TOP GUN PERFORMERS,11/12/2022,122,Hart
CLOSED - MAT AND SAVANNA SHAW,11/17/2022,"1,969",Hart
CLOSED - LASER TAG TOURNAMENT,11/19/2022,4,Hart
CLOSED - SWINGIN' CHRISTMAS,12/9/2022,"1,169",Hart
CLOSED - COUNTRY DANCE,1/4/2023,433,Hart
CLOSED - NASHVILLE TRIBUTE,2/3/2023,"1,964",Hart
CLOSED - SOUND TRAX,2/11/2023,260,Hart
CLOSED - DANCE SHOWCASE,2/15/2023,794,Hart
CLOSED - SLAM DUNK,2/17/2023,570,Hart
CLOSED - BATTLE OF THE DJs,3/4/2023,152,Hart
CLOSED - STAYIN' ALIVE: A BEE GEES TRIBUTE,3/17/2023,902,Hart
CLOSED - CULTURAL NIGHT,3/18/2023,"1,212",Hart
CLOSED - BASKETBALL CHAMPIONSHIPS- WOMEN and MEN,3/24/2023,"1,114",Hart
"CLOSED - FASHION SHOW ""MIDNIGHT IN PARIS""",3/25/2023,609,Hart
CLOSED - VOCAL UNION & SOUND ALLIANCE: A NIGHT at the SWING CLUB,3/29/2023,228,Hart
CLOSED - ECHO EFFECTS,3/31/2023,228,Hart
CLOSED - MARIACHI HERENCIA DE MEXICO,5/20/2023,453,Hart
CLOSED - SOUND TRAX,5/26/2023,220,Hart
CLOSED - SPIRIT NIGHT,6/2/2023,74,Hart
CLOSED - CULTURAL NIGHT and DANCE PARTY,6/3/2023,776,Hart
CLOSED - I-TALENT,6/10/2023,75,Hart
CLOSED - LONESTAR,6/15/2023,"2,352",Hart
CLOSED - ECHO EFFECTS,6/30/2023,217,Hart
CLOSED - MOLLY IN THE MINESHAFT,7/28/2023,477,Hart
CLOSED - CULTURAL NIGHT,10/14/2023,"1,248",Hart
"CLOSED - MASQUERADE BALL ""A KNIGHT ON THE TOWN""",10/21/2023,617,Hart
"I-DANCE ""BATTLE AT THE COLOSSEUM""",11/4/2023,70,Hart
VOLLEYBALL CHAMPIONSHIPS,11/15/2023,654,Hart
LASER TAG TOURNAMENT,11/18/2023,0,Hart
SWINGIN' CHRISTMAS,12/8/2023,0,Hart
"BYU-IDAHO FASHION SHOW ""NORDIC NIGHTS""",12/9/2023,52,Hart
BYU LIVING LEGENDS,1/19/2024,0,Hart
RICK THOMAS,2/2/2024,0,Hart
WINTER'S TALE,11/1/2019,283,Drama Theater
WINTER'S TALE,11/2/2019,400,Drama Theater
EXTRAVADANCE Fall 2019,11/12/2019,328,Drama Theater
EXTRAVADANCE Fall 2019,11/13/2019,420,Drama Theater
EXTRAVADANCE Fall 2019,11/14/2019,418,Drama Theater
EXTRAVADANCE Fall 2019,11/15/2019,430,Drama Theater
EXTRAVADANCE Fall 2019,11/16/2019,430,Drama Theater
EXTRAVADANCE Fall 2019,11/16/2019,443,Drama Theater
COMIC FRENZY,12/12/2019,96,Drama Theater
THE WIND IN THE WILLOWS,2/19/2020,234,Drama Theater
THE WIND IN THE WILLOWS,2/20/2020,317,Drama Theater
THE WIND IN THE WILLOWS,2/21/2020,354,Drama Theater
