Film,Distributor,Modern,Rank,Money1,Money2,Money3,Year,x,y,isDisney,url
Gone with the Wind,Metro-Goldwyn-Mayer,Amazon MGM Studios,1,"$1,850,581,586 ","$200,882,193 ",202286200,1939,2,30,No,https://image.tmdb.org/t/p/w500/lNz2Ow0wGCAvzckW7EOjE03KcYv.jpg
Star Wars: Episode IV - A New Hope,20th Century-Fox,Walt Disney Studios,2,"$1,629,496,559 ","$460,998,507 ",178119500,1977,4,30,Yes,https://image.tmdb.org/t/p/w500/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg
The Sound of Music,20th Century Fox,Walt Disney Studios,3,"$1,303,502,105 ","$159,287,539 ",142485200,1965,6,30,Yes,https://image.tmdb.org/t/p/w500/pDuoh2fKuacDXYtpREJysMOzQmS.jpg
E.T. the Extra-Terrestrial,Universal Pictures,Universal Pictures,4,"$1,297,730,421 ","$437,141,279 ",141854300,1982,8,30,No,https://image.tmdb.org/t/p/w500/an0nD6uq6byfxXCfk6lQBzdL2J1.jpg
Titanic,Paramount Pictures,Paramount Pictures,5,"$1,240,054,754 ","$674,292,608 ",135549800,1997,10,30,No,https://image.tmdb.org/t/p/w500/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg
The Ten Commandments,Paramount Pictures,Paramount Pictures,6,"$1,198,431,667 ","$65,500,000 ",131000000,1956,12,30,No,https://image.tmdb.org/t/p/w500/2rBUaC6ngeFmYXjL4KA3eLjt5wA.jpg
Jaws,Universal Pictures,Universal Pictures,7,"$1,172,447,655 ","$265,859,065 ",128159700,1975,14,30,No,https://image.tmdb.org/t/p/w500/lxM6kqilAdpdhqUl2biYp5frUxE.jpg
Doctor Zhivago,Metro-Goldwyn-Mayer,Amazon MGM Studios,8,"$1,135,632,932 ","$111,721,910 ",124135500,1965,16,30,No,https://image.tmdb.org/t/p/w500/r0Iv2BiCFYDnzc6uU1q3AJ56igT.jpg
The Exorcist,Warner Bros. Pictures,Warner Bros. Pictures,9,"$1,011,798,348 ","$233,005,644 ",110599200,1973,18,30,No,https://image.tmdb.org/t/p/w500/4ucLGcXVVSVnsfkGtbLY4XAius8.jpg
Snow White and the Seven Dwarfs,Walt Disney Studios,Walt Disney Studios,10,"$997,168,333 ","$184,925,486 ",109000000,1937,20,30,Yes,https://image.tmdb.org/t/p/w500/9QKUh9UuIIT2ZA9Rby9R6vtNRKa.jpg
