Film,Distributor,Modern,Rank,Money1,Money2,Money3,Year,x,y,isDisney,url
Gone with the Wind,Metro-Goldwyn-Mayer,Amazon MGM Studios,1,"$1,850,581,586","$200,882,193",202286200,1939,2,30,No,https://image.tmdb.org/t/p/w500/lNz2Ow0wGCAvzckW7EOjE03KcYv.jpg
E.T. the Extra-Terrestrial,Universal Pictures,Universal Pictures,4,"$1,297,730,421","$437,141,279",141854300,1982,8,30,No,https://image.tmdb.org/t/p/w500/an0nD6uq6byfxXCfk6lQBzdL2J1.jpg
Titanic,Paramount Pictures,Paramount Pictures,5,"$1,240,054,754","$674,292,608",135549800,1997,10,30,No,https://image.tmdb.org/t/p/w500/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg
The Ten Commandments,Paramount Pictures,Paramount Pictures,6,"$1,198,431,667","$65,500,000",131000000,1956,12,30,No,https://image.tmdb.org/t/p/w500/2rBUaC6ngeFmYXjL4KA3eLjt5wA.jpg
Jaws,Universal Pictures,Universal Pictures,7,"$1,172,447,655","$265,859,065",128159700,1975,14,30,No,https://image.tmdb.org/t/p/w500/lxM6kqilAdpdhqUl2biYp5frUxE.jpg
Doctor Zhivago,Metro-Goldwyn-Mayer,Amazon MGM Studios,8,"$1,135,632,932","$111,721,910",124135500,1965,16,30,No,https://image.tmdb.org/t/p/w500/r0Iv2BiCFYDnzc6uU1q3AJ56igT.jpg
The Exorcist,Warner Bros. Pictures,Warner Bros. Pictures,9,"$1,011,798,348","$233,005,644",110599200,1973,18,30,No,https://image.tmdb.org/t/p/w500/4ucLGcXVVSVnsfkGtbLY4XAius8.jpg
Ben-Hur,Metro-Goldwyn-Mayer,Amazon MGM Studios,14,"$896,965,723","$74,432,704",98046900,1959,8,27,No,https://image.tmdb.org/t/p/w500/m4WQ1dBIrEIHZNCoAjdpxwSKWyH.jpg
Jurassic Park,Universal Pictures,Universal Pictures,18,"$839,814,255","$407,185,075",91799700,1993,16,27,No,https://image.tmdb.org/t/p/w500/oU7Oq2kFAAlGqbU4VoAE36g4hoI.jpg
The Sting,Universal Pictures,Universal Pictures,21,"$815,508,963","$156,000,000",89142900,1973,2,24,No,https://image.tmdb.org/t/p/w500/ckmYng37zey8INYf6d10cVgIG93.jpg
