1,Gone with the Wind,"$1,850,581,586 ","$200,882,193 ","202,286,200",1939
2,Star Wars: Episode IV - A New Hope,"$1,629,496,559 ","$460,998,507 ","178,119,500",1977
3,The Sound of Music,"$1,303,502,105 ","$159,287,539 ","142,485,200",1965
4,E.T. the Extra-Terrestrial,"$1,297,730,421 ","$437,141,279 ","141,854,300",1982
5,Titanic,"$1,240,054,754 ","$674,292,608 ","135,549,800",1997
6,The Ten Commandments,"$1,198,431,667 ","$65,500,000 ","131,000,000",1956
7,Jaws,"$1,172,447,655 ","$265,859,065 ","128,159,700",1975
8,Doctor Zhivago,"$1,135,632,932 ","$111,721,910 ","124,135,500",1965
9,The Exorcist,"$1,011,798,348 ","$233,005,644 ","110,599,200",1973
10,Snow White and the Seven Dwarfs,"$997,168,333 ","$184,925,486 ","109,000,000",1937
11,Star Wars: Episode VII - The Force Awakens,"$989,072,973 ","$936,662,225 ","108,115,100",2015
12,One Hundred and One Dalmatians,"$914,076,766 ","$144,880,014 ","99,917,300",1961
13,Star Wars: Episode V - The Empire Strikes Back,"$899,035,076 ","$292,753,960 ","98,273,100",1980
14,Ben-Hur,"$896,965,723 ","$74,432,704 ","98,046,900",1959
15,Avatar,"$890,220,657 ","$785,221,649 ","97,309,600",2009
16,Avengers: Endgame,"$871,551,653 ","$858,373,000 ","95,268,900",2019
17,Star Wars: Episode VI - Return of the Jedi,"$860,486,744 ","$316,566,101 ","94,059,400",1983
18,Jurassic Park,"$839,814,255 ","$407,185,075 ","91,799,700",1993
19,Star Wars: Episode I - The Phantom Menace,"$826,205,195 ","$474,544,677 ","90,312,100",1999
20,The Lion King,"$815,540,983 ","$422,783,777 ","89,146,400",1994
21,The Sting,"$815,508,963 ","$156,000,000 ","89,142,900",1973
22,Raiders of the Lost Ark,"$810,024,538 ","$248,159,971 ","88,543,400",1981
23,The Graduate,"$782,885,092 ","$104,945,305 ","85,576,800",1967
24,Fantasia,"$759,709,619 ","$76,408,097 ","83,043,500",1941
25,The Godfather,"$722,009,337 ","$136,381,073 ","78,922,500",1972
26,Forrest Gump,"$719,398,403 ","$330,455,270 ","78,637,100",1994
27,Mary Poppins,"$715,233,167 ","$102,272,727 ","78,181,800",1964
28,Grease,"$705,323,692 ","$190,071,103 ","77,098,600",1978
29,The Avengers,"$703,334,845 ","$623,357,910 ","76,881,200",2012
30,Jurassic World,"$702,609,382 ","$653,406,625 ","76,801,900",2015
31,Black Panther,"$698,123,039 ","$700,426,566 ","76,311,500",2018
32,Thunderball,"$684,295,333 ","$63,595,658 ","74,800,000",1965
33,The Dark Knight,"$681,216,919 ","$534,987,076 ","74,463,500",2008
34,The Jungle Book,"$674,048,285 ","$141,843,612 ","73,679,900",1967
35,Sleeping Beauty,"$664,864,273 ","$51,600,000 ","72,676,000",1959
36,Avengers: Infinity War,"$662,519,555 ","$678,815,482 ","72,419,700",2018
37,Ghostbusters,"$652,072,159 ","$243,578,797 ","71,277,700",1984
38,Shrek 2,"$649,997,317 ","$441,226,247 ","71,050,900",2004
39,Spider-Man,"$646,112,934 ","$407,022,860 ","70,626,300",2002
40,Butch Cassidy and the Sundance Kid,"$645,487,188 ","$102,308,889 ","70,557,900",1969
41,Love Story,"$640,515,984 ","$106,550,690 ","70,014,500",1970
42,Independence Day,"$633,694,987 ","$306,169,268 ","69,268,900",1996
43,Home Alone,"$619,655,040 ","$285,761,243 ","67,734,200",1990
44,Star Wars: Episode VIII - The Last Jedi,"$618,377,017 ","$620,181,382 ","67,594,500",2017
45,Pinocchio,"$616,627,856 ","$84,254,167 ","67,403,300",1940
46,Cleopatra,"$614,617,052 ","$57,777,778 ","67,183,500",1963
47,Beverly Hills Cop,"$614,310,583 ","$234,760,478 ","67,150,000",1984
48,Goldfinger,"$606,534,500 ","$51,081,062 ","66,300,000",1964
49,Incredibles 2,"$606,527,181 ","$608,581,744 ","66,299,200",2018
50,Airport,"$604,808,209 ","$100,489,151 ","66,111,300",1970
51,American Graffiti,"$601,176,321 ","$115,000,000 ","65,714,300",1973
52,The Robe,"$598,799,584 ","$36,000,000 ","65,454,500",1953
53,Pirates of the Caribbean: Dead Man's Chest,"$591,242,146 ","$423,315,812 ","64,628,400",2006
54,Around the World in 80 Days,"$591,123,218 ","$42,000,000 ","64,615,400",1956
55,Bambi,"$582,862,273 ","$102,247,150 ","63,712,400",1942
56,Blazing Saddles,"$578,536,941 ","$119,616,663 ","63,239,600",1974
57,Batman,"$576,091,591 ","$251,409,241 ","62,972,300",1989
58,The Bells of St. Mary's,"$574,013,090 ","$21,333,333 ","62,745,100",1945
59,The Lord of the Rings: The Return of the King,"$563,900,522 ","$379,427,292 ","61,639,700",2003
60,Finding Nemo,"$563,413,831 ","$380,843,261 ","61,586,500",2003
61,The Towering Inferno,"$561,485,362 ","$116,000,000 ","61,375,700",1974
62,Rogue One: A Star Wars Story,"$552,939,904 ","$533,539,991 ","60,441,600",2016
63,The Lion King,"$551,852,167 ","$543,638,043 ","60,322,700",2019
64,Cinderella,"$551,657,308 ","$93,141,149 ","60,301,400",1950
65,Spider-Man 2,"$550,351,840 ","$373,585,825 ","60,158,700",2004
66,My Fair Lady,"$549,469,026 ","$72,560,711 ","60,062,200",1964
67,The Greatest Show on Earth,"$548,900,000 ","$36,000,000 ","60,000,000",1952
68,National Lampoon's Animal House,"$547,896,428 ","$141,600,000 ","59,890,300",1978
69,The Passion of the Christ,"$546,199,412 ","$370,782,930 ","59,704,800",2004
70,Star Wars: Episode III - Revenge of the Sith,"$542,721,216 ","$380,270,577 ","59,324,600",2005
71,Back to the Future,"$542,087,236 ","$212,836,762 ","59,255,300",1985
72,The Lord of the Rings: The Two Towers,"$528,091,201 ","$342,952,511 ","57,725,400",2002
73,The Dark Knight Rises,"$526,777,500 ","$448,149,584 ","57,581,800",2012
74,The Sixth Sense,"$526,752,800 ","$293,506,292 ","57,579,100",1999
75,Superman,"$524,967,960 ","$134,478,449 ","57,384,000",1978
76,Tootsie,"$520,575,845 ","$177,200,000 ","56,903,900",1982
77,Beauty and the Beast,"$520,064,453 ","$504,481,165 ","56,848,000",2017
78,Smokey and the Bandit,"$519,926,313 ","$126,737,428 ","56,832,900",1977
79,Finding Dory,"$513,753,018 ","$486,295,561 ","56,158,100",2016
80,Harry Potter and the Sorcerer's Stone,"$513,616,708 ","$318,886,962 ","56,143,200",2001
81,West Side Story,"$512,423,765 ","$44,055,492 ","56,012,800",1961
82,Close Encounters of the Third Kind,"$511,600,415 ","$135,189,114 ","55,922,800",1977
83,Lady and the Tramp,"$509,881,443 ","$93,602,326 ","55,734,900",1955
84,Lawrence of Arabia,"$507,156,155 ","$45,306,425 ","55,437,000",1962
85,The Rocky Horror Picture Show,"$503,793,228 ","$112,892,319 ","55,069,400",1975
