Film,Distributor,Modern
Cleopatra,20th Century Fox,Walt Disney Studios
The Robe,20th Century Fox,Walt Disney Studios
The Lord of the Rings: The Return of the King,20th Century Fox,Amazon MGM Studios
The Towering Inferno,20th Century Fox,Walt Disney Studios
Star Wars: Episode II - Attack of the Clones,20th Century Fox,Walt Disney Studios
The Sound of Music,20th Century Fox,Walt Disney Studios
Independence Day,20th Century Fox,Walt Disney Studios
The Lord of the Rings: The Two Towers,20th Century Fox,Amazon MGM Studios
The Lord of the Rings: The Fellowship of the Ring,20th Century Fox,Amazon MGM Studios
Home Alone,20th Century Fox,Walt Disney Studios
Star Wars: Episode III - Revenge of the Sith,20th Century Fox,Walt Disney Studios
The Rocky Horror Picture Show,20th Century Fox,Walt Disney Studios
M*A*S*H,20th Century Fox,Walt Disney Studios
Star Wars: Episode IV - A New Hope,20th Century-Fox,Walt Disney Studios
Star Wars: Episode V - The Empire Strikes Back,20th Century-Fox,Walt Disney Studios
Avatar,20th Century-Fox,Walt Disney Studios
Star Wars: Episode VI - Return of the Jedi,20th Century-Fox,Walt Disney Studios
Star Wars: Episode I - The Phantom Menace,20th Century-Fox,Walt Disney Studios
Butch Cassidy and the Sundance Kid,20th Century-Fox,Walt Disney Studios
The Poseidon Adventure,20th Century-Fox,Walt Disney Studios
Ghostbusters,Columbia Pictures,Sony Pictures
Tootsie,Columbia Pictures,Sony Pictures
Close Encounters of the Third Kind,Columbia Pictures,Sony Pictures
Lawrence of Arabia,Columbia Pictures,Sony Pictures
The Bridge on the River Kwai,Columbia Pictures,Sony Pictures
Shrek 2,Dreamworks,Universal Pictures
The Graduate,Embassy Pictures,Sony Pictures
Gone with the Wind,Metro-Goldwyn-Mayer,Amazon MGM Studios
Doctor Zhivago,Metro-Goldwyn-Mayer,Amazon MGM Studios
Ben-Hur,Metro-Goldwyn-Mayer,Amazon MGM Studios
Thunderball,United Artists,Amazon MGM Studios
Goldfinger,United Artists,Amazon MGM Studios
Around the World in 80 Days,United Artists,Amazon MGM Studios
West Side Story,United Artists,Amazon MGM Studios
Rocky,United Artists,Amazon MGM Studios
It's a Mad Mad Mad Mad World,United Artists,Amazon MGM Studios
One Flew Over the Cuckoo's Nest,United Artists,Amazon MGM Studios
The Passion of the Christ,Newmarket Films,Lionsgate
Titanic,Paramount Pictures,Paramount Pictures
The Ten Commandments,Paramount Pictures,Paramount Pictures
Raiders of the Lost Ark,Paramount Pictures,Paramount Pictures
The Godfather,Paramount Pictures,Paramount Pictures
Forrest Gump,Paramount Pictures,Paramount Pictures
Grease,Paramount Pictures,Paramount Pictures
Love Story,Paramount Pictures,Paramount Pictures
Beverly Hills Cop,Paramount Pictures,Paramount Pictures
The Greatest Show on Earth,Paramount Pictures,Paramount Pictures
Transformers: Revenge of the Fallen,Paramount Pictures,Paramount Pictures
Indiana Jones and the Temple of Doom,Paramount Pictures,Walt Disney Studios
The Bells of St. Mary's,RKO Radio Pictures,Warner Bros. Pictures
The Best Years of Our Lives,RKO Radio Pictures,Warner Bros. Pictures
Spider-Man,Sony Pictures Releasing,Sony Pictures
Spider-Man 2,Sony Pictures Releasing,Sony Pictures
Men in Black,Sony Pictures Releasing,Sony Pictures
E.T. the Extra-Terrestrial,Universal Pictures,Universal Pictures
Jaws,Universal Pictures,Universal Pictures
Jurassic Park,Universal Pictures,Universal Pictures
The Sting,Universal Pictures,Universal Pictures
Jurassic World,Universal Pictures,Universal Pictures
Airport,Universal Pictures,Universal Pictures
American Graffiti,Universal Pictures,Universal Pictures
National Lampoon's Animal House,Universal Pictures,Universal Pictures
Back to the Future,Universal Pictures,Universal Pictures
Smokey and the Bandit,Universal Pictures,Universal Pictures
Finding Nemo,Walt Disney Studios,Walt Disney Studios
One Hundred and One Dalmatians,Walt Disney Studios,Walt Disney Studios
Lady and the Tramp,Walt Disney Studios,Walt Disney Studios
The Lion King,Walt Disney Studios,Walt Disney Studios
Pirates of the Caribbean: Dead Man's Chest,Walt Disney Studios,Walt Disney Studios
The Lion King,Walt Disney Studios,Walt Disney Studios
The Sixth Sense,Walt Disney Studios,Walt Disney Studios
Bambi,Walt Disney Studios,Walt Disney Studios
Snow White and the Seven Dwarfs,Walt Disney Studios,Walt Disney Studios
Beauty and the Beast,Walt Disney Studios,Walt Disney Studios
Pinocchio,Walt Disney Studios,Walt Disney Studios
Incredibles 2,Walt Disney Studios,Walt Disney Studios
Cinderella,Walt Disney Studios,Walt Disney Studios
Swiss Family Robinson,Walt Disney Studios,Walt Disney Studios
Star Wars: Episode IX - The Rise of Skywalker,Walt Disney Studios,Walt Disney Studios
Star Wars: Episode VII - The Force Awakens,Walt Disney Studios,Walt Disney Studios
Avengers: Endgame,Walt Disney Studios,Walt Disney Studios
Fantasia,Walt Disney Studios,Walt Disney Studios
Mary Poppins,Walt Disney Studios,Walt Disney Studios
The Avengers,Walt Disney Studios,Walt Disney Studios
Black Panther,Walt Disney Studios,Walt Disney Studios
The Jungle Book,Walt Disney Studios,Walt Disney Studios
Sleeping Beauty,Walt Disney Studios,Walt Disney Studios
Avengers: Infinity War,Walt Disney Studios,Walt Disney Studios
Star Wars: Episode VIII - The Last Jedi,Walt Disney Studios,Walt Disney Studios
Rogue One: A Star Wars Story,Walt Disney Studios,Walt Disney Studios
Finding Dory,Walt Disney Studios,Walt Disney Studios
The Exorcist,Warner Bros. Pictures,Warner Bros. Pictures
The Dark Knight,Warner Bros. Pictures,Warner Bros. Pictures
Blazing Saddles,Warner Bros. Pictures,Warner Bros. Pictures
Batman,Warner Bros. Pictures,Warner Bros. Pictures
My Fair Lady,Warner Bros. Pictures,Warner Bros. Pictures
The Dark Knight Rises,Warner Bros. Pictures,Warner Bros. Pictures
Superman,Warner Bros. Pictures,Warner Bros. Pictures
Harry Potter and the Sorcerer's Stone,Warner Bros. Pictures,Warner Bros. Pictures
Twister,Warner Bros. Pictures,Warner Bros. Pictures
