,State,Date,Text
35,Virginia,24-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 24, 2023October 25, 2023 - Half-Staff-Alert - VirginiaIn accordance with the authority vested in me as Governor, I
hereby order that the flags of the United States of America and the
Commonwealth of Virginia be flown at half-staff on all state and loca
                    …Continue Reading"
36,Idaho,24-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 24, 2023October 23, 2023 through interment (unknown) - Half-Staff Alert - IdahoGovernor
Brad Little has ordered both the U.S. and State of Idaho flags to be flown at
half-staff to honor 36-year-old Post Falls Police Officer Nicholas McDaniel,
who died in the line of duty Sund
                    …Continue Reading"
37,Massachusetts,23-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 23, 2023October 24, 2023 - Half Staff Alert - MassachusettsPlease be advised that Massachusetts Governor Maura Healey has ordered that
the United States of America flag and the Commonwealth of Massachusetts flag be
lowered to half-staff at all state buildin
                    …Continue Reading"
38,Pennsylvania,23-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 23, 2023October 23, 2023 through interment (unknown)- Half-Staff Alert - PennsylvaniaToday,  Governor Josh Shapiro ordered Commonwealth flags on all Commonwealth facilities, public buildings, and grounds in Chester County to immediately fly at half-staff staff until the date of interm
                    …Continue Reading"
39,Nebraska,20-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 20, 2023October 21, 2023 - Half Staff Alert - NebraskaToday, Governor Jim Pillen ordered that U.S. and Nebraska flags are to be flown at half-staff honoring first responders across the state. The announcement follows the death this week of an employee wi
                    …Continue Reading"
40,Maryland,20-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 20, 2023October 20, 2023 through interment (unknown) - Half-Staff Alert - MarylandThis is to advise
that Governor Wes Moore ordered the United States Flag and
Maryland Flag lowered to half-staff effective immediately and returned
to full-staff at sunset on the day of interment (
                    …Continue Reading"
41,Pennsylvania,20-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 20, 2023October 13-24, 2023 - Half-Staff Alert - PennsylvaniaToday, Governor Josh Shapiro ordered the United States and Commonwealth flags on all Commonwealth facilities, public buildings, and grounds to immediately fly at half-staff in honor of Philadelphia Po
                    …Continue Reading"
42,Kansas,20-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 20, 2023October 18-23, 2023 - Half Staff Alert - KansasToday,
in accordance with Executive Order #20-30, Governor Laura Kelly directed flags
be lowered to half-staff at the State Capitol Complex and all court buildings
and facilities until Monday, Octo
                    …Continue Reading"
43,Pennsylvania,20-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 20, 2023October 20-21, 2023 - Half-Staff Alert - PennsylvaniaToday, Governor Josh Shapiro ordered Commonwealth flags on all Commonwealth facilities, public buildings, and grounds in Warren County to immediately fly at half-staff until sunset on Saturday, Octobe
                    …Continue Reading"
44,Wisconsin,20-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 20, 2023October 21, 2023 - Half-Staff Alert - WisconsinGov. Tony Evers signed Executive Order #214
ordering the flags of the United States and the state of Wisconsin to be flown
at half-staff on Sat., Oct. 21, 2023, in honor of U.S. Army Private First C
                    …Continue Reading"
