Semester,Year,Position,Count
Fall,2023,On-Campus,18714
Fall,2023,Interns,4604
Fall,2023,Online,19678
Spring,2023,On-Campus,12798
Spring,2023,Interns,5041
Spring,2023,Online,17073
Winter,2023,On-Campus,17740
Winter,2023,Interns,4731
Winter,2023,Online,18403
Fall,2022,On-Campus,19441
Fall,2022,Interns,4690
Fall,2022,Online,18893
Spring,2022,On-Campus,14246
Spring,2022,Interns,5164
Spring,2022,Online,15813
Winter,2022,On-Campus,18425
Winter,2022,Interns,5278
Winter,2022,Online,17547
Fall,2021,On-Campus,20337
Fall,2021,Interns,5253
Fall,2021,Online,18674
Spring,2021,On-Campus,16046
Spring,2021,Interns,5094
Spring,2021,Online,16828
Winter,2021,On-Campus,19683
Winter,2021,Interns,5651
Winter,2021,Online,17689
Fall,2020,On-Campus,21337
Fall,2020,Interns,5626
Fall,2020,Online,17525
Spring,2020,On-Campus,14435
Spring,2020,Interns,6125
Spring,2020,Online,12440
Winter,2020,On-Campus,18211
Winter,2020,Interns,4832
Winter,2020,Online,13501
